,Country,Country Code,Year,Government Expenditure (GDP),Adult Literacy Rate,Primary Completion Rate,Pupil-Teacher Ratio (Primary),Pupil-Teacher Ratio (Secondary),Primary School Enrollment Rate,Secondary School Enrollment Rate,Tertiary School Enrollment Rate
82,Albania,ALB,2008,3.50922608375549,96.0,109.742630004883,19.4078,16.79416,100.383003234863,87.8338394165039,31.6839599609375
85,Albania,ALB,2011,3.24000835418701,97.0,100.500961303711,19.86917,15.24414,101.580268859863,95.4705276489258,49.3997001647949
86,Albania,ALB,2012,3.30906105041504,97.0,117.00846862793,19.48298,14.89293,102.067359924316,97.6080703735352,58.6214218139648
91,Albania,ALB,2017,3.61172008514404,98.8162307739258,106.449691772461,17.94478,11.60265,105.414970397949,97.5743713378906,58.0177803039551
194,Arab World,ARB,2002,5.03286671638489,67.2946319580078,76.7804565429688,21.79427,16.50426,88.4392776489258,60.7097206115723,18.8252601623535
196,Arab World,ARB,2004,5.02110004425048,70.8691711425781,79.8977127075195,21.24495,16.56364,89.9266891479492,64.2889099121094,20.1249408721924
198,Arab World,ARB,2006,3.93055999279022,69.1949996948242,79.3520278930664,21.34929,15.71052,91.589241027832,64.1244812011719,21.5791606903076
200,Arab World,ARB,2008,4.22755002975464,71.0101776123047,82.8567199707031,20.90504,14.85188,92.2495269775391,63.3075981140137,22.8732795715332
204,Arab World,ARB,2012,4.12477493286132,73.0683670043945,84.9579162597656,19.47213,14.41522,95.148551940918,68.2796173095703,24.8367595672607
218,Argentina,ARG,2001,4.833740234375,97.0,99.186408996582,18.02999,17.48206,117.307037353516,98.0622406005859,58.791690826416
266,Aruba,ABW,2000,4.71468019485474,97.0,87.6526489257812,19.05967,15.25432,108.326507568359,93.7623291015625,27.9737606048584
276,Aruba,ABW,2010,6.75109004974365,97.0,95.5525588989258,16.82253,13.80075,115.082893371582,96.1624069213867,35.2336311340332
397,Bahrain,BHR,2011,2.31235384941101,92.3000030517578,93.507682800293,12.1159,10.38663,96.224967956543,92.4206771850586,46.54248046875
511,Belize,BLZ,2001,4.25065994262695,80.9000015258789,100.705017089844,22.81694,22.88462,117.525131225586,69.4539337158203,15.0931301116943
525,Belize,BLZ,2015,5.39020013809204,90.9160385131836,105.614219665527,20.43642,16.30319,113.607513427734,80.9736709594727,23.273889541626
587,Bhutan,BTN,2005,6.76420021057129,53.0,65.4083786010742,31.05151,28.11474,92.7624130249023,44.0077285766602,4.86986017227173
599,Bhutan,BTN,2017,6.22741651535034,67.0,94.9668121337891,34.56294,11.0089,99.7384333534538,86.6147003173828,14.7713375091553
740,Brunei Darussalam,BRN,2011,3.32209992408752,96.0,110.10570526123,11.33566,9.93749,103.95630139606,101.302917480469,17.1019992828369
755,Bulgaria,BGR,2001,3.38423991203308,98.0,101.293197631836,17.69108,12.16587,105.339256286621,80.9440765380859,41.0407791137695
765,Bulgaria,BGR,2011,3.54690003395081,98.0,99.9665908813477,17.46208,12.29774,101.120269775391,96.4361267089844,59.8246803283691
784,Burkina Faso,BFA,2006,3.98218989372253,22.0,31.960880279541,45.83142,29.60091,60.6565017700195,14.2397899627685,2.2746000289917
785,Burkina Faso,BFA,2007,4.07983016967773,28.0,34.0685195922852,47.65745,28.19459,66.1942977905273,15.3694496154785,2.42068004608154
792,Burkina Faso,BFA,2014,4.05329990386963,35.0,59.9809112548828,44.49899,27.08945,84.8977890014648,29.732629776001,4.92263984680176
796,Burkina Faso,BFA,2018,5.488609790802,39.0,62.8463706970215,39.72173,23.11995,91.7203674316406,39.8208885192871,6.34666013717651
817,Burundi,BDI,2014,7.51637983322144,62.0,69.089469909668,43.65376,37.21738,125.404472351074,41.4826889038086,3.86162900924683
819,Burundi,BDI,2016,4.96585083007812,65.6877365112305,64.0318298339844,49.66066,32.13206,116.194183349609,48.9952812194824,4.09006786346436
820,Burundi,BDI,2017,5.00918865203857,68.0,63.2770881652832,49.61434,28.02967,111.118583679199,49.8075103759766,4.43720865249634
840,Cabo Verde,CPV,2012,5.39769554138184,85.0,91.9921722412109,22.97124,16.7948,105.173240661621,86.7075271606445,19.3967304229736
843,Cabo Verde,CPV,2015,4.80622005462646,87.0,94.8530120849609,21.94779,16.40755,101.818069458008,87.5373077392578,20.5760192871094
884,Cameroon,CMR,2007,2.87815999984741,71.0,54.8315696716309,44.43054,21.89841,105.749359130859,32.7429504394531,7.42952013015747
1011,Central Europe and the Baltics,CEB,2013,4.52116012573242,99.2968978881836,96.7779388427734,12.72895,10.41704,98.5211563110352,104.638191223145,65.7614822387695
1012,Central Europe and the Baltics,CEB,2014,4.48657989501953,99.3145980834961,96.5301895141602,12.76702,10.39318,97.7520599365234,103.411109924316,64.334602355957
1013,Central Europe and the Baltics,CEB,2015,4.81700992584229,99.3322525024414,97.4653167724609,12.545,10.14677,96.9002227783203,102.259826660156,63.5147018432617
1014,Central Europe and the Baltics,CEB,2016,4.65749979019165,99.350212097168,96.6126480102539,12.36689,10.0146,96.1736373901367,101.328056335449,63.742748260498
1015,Central Europe and the Baltics,CEB,2017,4.07755994796753,99.3702087402344,98.6505279541016,12.71581,9.9961,95.9559783935547,101.303939819336,64.2809066772461
1016,Central Europe and the Baltics,CEB,2018,4.24356985092163,99.4186782836914,93.9850997924805,12.66168,10.02635,95.3262329101562,101.131561279297,64.793212890625
1023,Chad,TCD,2000,2.64670991897583,26.0,22.4082298278809,68.62067,32.22277,63.3714981079102,11.2949104309082,0.817380011081696
1027,Chad,TCD,2004,1.59294998645782,28.0,33.3219299316406,68.7188,34.20748,75.7852478027344,15.658860206604,1.24917995929718
1038,Chad,TCD,2015,2.3428316116333,26.0029907226562,38.9475402832031,55.54179,27.45229,91.56591796875,23.0286598205566,3.33451008796692
1058,Chile,CHL,2011,4.0617299079895,97.0,95.0724105834961,21.97403,21.0574,103.170486450195,90.9826202392578,70.8241806030273
1060,Chile,CHL,2013,4.54814004898071,96.0,96.9979019165039,19.52587,21.00122,102.084899902344,99.1520767211914,79.8703384399414
1062,Chile,CHL,2015,4.90390014648438,97.0,97.77294921875,18.3778,19.44185,101.712509155273,100.921676635742,86.4181137084961
1064,Chile,CHL,2017,5.43278980255127,96.0,98.1549530029297,17.79358,18.36688,101.396278381348,102.294822692871,89.921989440918
1081,China,CHN,2010,3.55966520309448,95.0,104.896789550781,16.84376,15.46166,105.000213623047,91.5271835327148,25.2860698699951
1194,Costa Rica,CRI,2011,6.37988996505737,97.0,98.2123107910156,17.34208,14.92131,111.912406921387,102.432029724121,44.9357299804688
1221,Cote d'Ivoire,CIV,2014,3.31416988372803,44.0,53.1275405883789,42.52673,22.30057,82.8493499755859,38.4756011962891,8.36830043792725
1223,Cote d'Ivoire,CIV,2016,3.93593001365662,50.039680480957,61.3673782348633,42.50102,25.83658,90.1342468261719,43.8949584960938,9.09276962280273
1233,Croatia,HRV,2001,5.68086528778076,98.0,102.163940429688,18.27197,11.32851,101.51358795166,94.7751998901367,36.3740501403809
1268,Cuba,CUB,2012,11.5516605377197,100.0,92.5005569458008,9.05528,8.42905,100.628433227539,90.6324996948242,61.7317886352539
1296,Cyprus,CYP,2001,5.11552000045776,97.0,98.0424880981445,17.19454,12.73405,96.6496124267578,93.4450607299805,21.6125202178955
1306,Cyprus,CYP,2011,6.52042007446289,99.0,101.733100891113,13.44153,9.72688,101.200538635254,92.8256225585938,46.5397300720215
1423,Dominican Republic,DOM,2010,1.88728785514832,90.0,92.8501586914062,25.53138,28.19246,110.49796295166,77.9718322753906,48.5968780517578
1424,Dominican Republic,DOM,2011,1.87925755977631,90.0,93.000617980957,25.45855,28.72223,110.20068359375,77.4272232055664,47.6470642089844
1426,Dominican Republic,DOM,2013,3.62818145751953,91.0,94.1746978759766,23.49304,27.63296,109.52823638916,79.171501159668,46.3571929931641
1428,Dominican Republic,DOM,2015,3.6040027141571,92.0,99.6948928833008,18.29098,22.09344,112.013488769531,79.9378890991211,51.7471084594727
1437,Early-demographic dividend,EAR,1999,4.11037015914917,67.5488204956055,73.4421615600586,31.80821,23.26303,94.3767623901367,49.2522888183594,12.6567001342773
1438,Early-demographic dividend,EAR,2000,3.8178950548172,68.2749481201172,74.8012237548828,31.84988,23.36436,95.0536575317383,50.5358200073242,13.2647895812988
1439,Early-demographic dividend,EAR,2001,4.07168006896973,68.8648376464844,77.5024185180664,31.8511,23.53548,97.2789764404297,52.5677680969238,13.875880241394
1440,Early-demographic dividend,EAR,2002,4.01734018325806,69.4954528808594,78.728630065918,31.59544,23.23858,97.499267578125,53.7626190185547,14.2842903137207
1441,Early-demographic dividend,EAR,2003,4.16870021820068,70.4301528930664,80.9108581542969,31.72718,23.24171,100.813682556152,55.4017906188965,14.7668600082397
1442,Early-demographic dividend,EAR,2004,3.5786600112915,71.0904693603516,82.7235336303711,31.7082,23.36676,102.117347717285,56.5185890197754,15.2091302871704
1444,Early-demographic dividend,EAR,2006,4.20910000801087,71.1106262207031,85.573127746582,31.48994,21.98053,104.349227905273,58.7928886413574,16.3332901000977
1445,Early-demographic dividend,EAR,2007,3.6185849905014,72.085090637207,87.2479705810547,31.29214,21.62487,106.038619995117,60.5913391113281,17.6443099975586
1446,Early-demographic dividend,EAR,2008,4.01259005069732,72.9466018676758,88.7183609008789,31.30122,20.99556,106.172340393066,62.019359588623,19.267879486084
1447,Early-demographic dividend,EAR,2009,4.51763010025024,73.7127685546875,89.7322311401367,30.65549,20.53626,106.107261657715,62.4525413513184,20.3735103607178
1448,Early-demographic dividend,EAR,2010,3.89688181877136,75.2982788085938,90.0311431884766,29.92575,20.53655,106.284240722656,64.7093734741211,22.0188999176025
1449,Early-demographic dividend,EAR,2011,3.91682505607605,75.3602600097656,89.7763214111328,29.28531,21.22642,106.58438873291,66.9785232543945,24.5605792999268
1450,Early-demographic dividend,EAR,2012,4.40412497520446,75.6044769287109,90.9223709106445,28.94606,21.49801,106.735832214355,68.4146270751953,25.9696006774902
1451,Early-demographic dividend,EAR,2013,4.50858020782471,76.3071594238281,90.8058700561523,27.60211,22.61324,106.776481628418,69.2812805175781,26.4634990692139
1452,Early-demographic dividend,EAR,2014,3.9910352230072,77.095100402832,92.2184677124023,27.46432,22.76992,105.763801574707,72.2786636352539,27.8231792449951
1453,Early-demographic dividend,EAR,2015,3.92036402225494,78.0110092163086,92.4272384643555,27.0575,22.50503,105.988052368164,72.92431640625,29.3158798217773
1454,Early-demographic dividend,EAR,2016,3.83786773681641,78.6787033081055,93.1140594482422,27.77988,21.60483,108.36979675293,73.9477462768555,30.1273899078369
1455,Early-demographic dividend,EAR,2017,3.93130993843079,78.9388809204102,92.0368423461914,27.61436,21.33877,107.233093261719,73.4838790893555,30.693639755249
1456,Early-demographic dividend,EAR,2018,3.68916285037994,79.2979125976562,91.8398590087891,27.85282,21.40841,101.392951965332,74.4889221191406,31.0594902038574
1464,East Asia & Pacific,EAS,2001,3.54249000549316,90.6356430053711,97.7901611328125,23.16444,18.62109,111.869667053223,64.2277374267578,16.5789108276367
1465,East Asia & Pacific,EAS,2002,3.86491990089417,90.9898223876953,96.6651306152344,22.35288,18.47375,110.580718994141,65.0477066040039,18.2724494934082
1467,East Asia & Pacific,EAS,2004,3.65276002883911,91.6944808959961,95.3221435546875,20.82951,18.22422,108.170249938965,68.7539672851562,21.7480392456055
1470,East Asia & Pacific,EAS,2007,3.17887997627258,93.5124969482422,96.6109466552734,19.15573,16.57691,106.371200561523,77.0811614990234,25.266429901123
1471,East Asia & Pacific,EAS,2008,3.39046001434326,93.8161773681641,101.4609375,19.22901,16.13149,106.588920593262,79.7275314331055,25.9758892059326
1472,East Asia & Pacific,EAS,2009,3.88776075839996,94.0851821899414,101.98999786377,18.76306,16.03024,106.367767333984,83.85888671875,27.2145500183105
1473,East Asia & Pacific,EAS,2010,3.55966520309448,94.2001724243164,101.821670532227,18.40429,15.73194,106.081230163574,85.8504486083984,29.0378608703613
1474,East Asia & Pacific,EAS,2011,3.7802300453186,93.8646011352539,100.620979309082,18.29799,15.90186,105.81078338623,87.0839691162109,30.5834007263184
1475,East Asia & Pacific,EAS,2012,3.59691834449768,94.0950164794922,98.5712280273438,18.24173,15.72679,105.797241210938,87.6653671264648,32.768138885498
